CIF,Client Type,Name,Country,Transit,Address1,Address2,Address3,Address4,Email Address,Box Link,Telephone Contact,Risk Rating,Case Status,Current Case Status,Business Documents Outstanding,Entity Self-Certification Form Outstanding,UBOID Outstanding,UBO-Proof of Address Outstanding,UBO in order,ROS officer,File Review Date,1st Notice Date,1st Notice Type,2nd Notice Date,2nd Notice Type,3rd Notice Date,3rd Notice Type,Notification Expiry date,Refresh date (Last KYC),Next KYC Refresh date,Restraint date,Exception date,Exception expiry date,Updates to ICN,Updates on Core,Portfolio
857689157,Business,Shannon Jones,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,shannon.jones@example.com,https://box.com/v/client-docs-10,473.829.9737,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,NO,NO,YES,YES,Cheryl Davis,2021-06-18,2021-05-29,LETTER,2021-06-08,LETTER,2021-06-18,LETTER,2021-07-03,2021-05-19,2024-05-18,,,,NO,YES,Business Clients
844223585,Business,Jeff Owens,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,jeff.owens@example.com,https://box.com/v/client-docs-11,001-010-651-3338x7262,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,NO,NO,YES,YES,David Leblanc,2021-08-12,2021-07-23,EMAIL,2021-08-02,PHONE CALL,2021-08-12,LETTER,2021-08-27,2021-07-13,2024-07-12,,,,NO,YES,Premier Clients - Retail
828311999,Personal,Scott Pierce,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,scott.pierce@example.com,https://box.com/v/client-docs-12,8013267736,STANDARD,Due for Restrain,Due for Restrain,NO,YES,YES,NO,YES,Carmen Smith,2023-08-07,2023-07-18,EMAIL,2023-07-28,LETTER,2023-08-07,LETTER,2023-08-22,2023-07-08,2026-07-07,2023-09-06,,,YES,YES,Premier Clients - Retail
814344340,Business,Timothy Glover,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,timothy.glover@example.com,https://box.com/v/client-docs-13,687-234-3098x0500,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,YES,NO,YES,NO,NO,Kathryn Farrell,2023-10-22,2023-10-02,PHONE CALL,2023-10-12,PHONE CALL,2023-10-22,PHONE CALL,2023-11-06,2023-09-22,2026-09-21,,,,NO,YES,Premier Clients - Retail
850195792,Business,Tyler Miller,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,tyler.miller@example.com,https://box.com/v/client-docs-14,(191)361-9399,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,NO,YES,YES,YES,Bradley Sandoval,2021-05-30,2021-05-10,EMAIL,2021-05-20,EMAIL,2021-05-30,LETTER,2021-06-14,2021-04-30,2024-04-29,,,,YES,YES,Business Clients
828133709,Business,Emily Green,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,emily.green@example.com,https://box.com/v/client-docs-15,+1-534-624-7510x79911,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,NO,YES,NO,NO,Katie Anderson,2021-04-22,2021-04-02,EMAIL,2021-04-12,LETTER,2021-04-22,LETTER,2021-05-07,2021-03-23,2024-03-22,,,,NO,NO,Business Clients
804916445,Personal,Benjamin Sanchez,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,benjamin.sanchez@example.com,https://box.com/v/client-docs-16,278-498-0841x2411,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,NO,YES,YES,NO,Brittney Campbell,2023-08-27,2023-08-07,PHONE CALL,2023-08-17,EMAIL,2023-08-27,PHONE CALL,2023-09-11,2023-07-28,2026-07-27,,,,NO,YES,Private Wealth
807746288,Personal,Grant Watts,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,grant.watts@example.com,https://box.com/v/client-docs-17,874-016-4005x242,MEDIUM,Out Of Order,Out Of Order,NO,NO,YES,NO,YES,Kristen Patterson,2021-11-02,2021-10-13,LETTER,2021-10-23,LETTER,2021-11-02,PHONE CALL,2021-11-17,2021-10-03,2024-10-02,,2021-12-12,2022-01-01,NO,NO,Premier Clients - Retail
800237949,Business,Benjamin Ware,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,benjamin.ware@example.com,https://box.com/v/client-docs-18,(805)982-6204,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,YES,NO,NO,YES,Timothy Stanton,2022-08-20,2022-07-31,EMAIL,2022-08-10,EMAIL,2022-08-20,LETTER,2022-09-04,2022-07-21,2025-07-20,,,,YES,YES,Business Clients
820686869,Business,Hunter Fleming,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,hunter.fleming@example.com,https://box.com/v/client-docs-19,+1-158-692-3226x02563,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,YES,YES,YES,NO,Richard Rodriguez,2021-10-19,2021-09-29,LETTER,2021-10-09,PHONE CALL,2021-10-19,LETTER,2021-11-03,2021-09-19,2024-09-18,,,,YES,YES,Premier Clients - Retail
849430006,Business,Shannon Walker,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,shannon.walker@example.com,https://box.com/v/client-docs-20,543.303.6541x458,STANDARD,Due for Restrain,Due for Restrain,YES,NO,YES,YES,NO,William Herrera,2021-03-22,2021-03-02,EMAIL,2021-03-12,PHONE CALL,2021-03-22,EMAIL,2021-04-06,2021-02-20,2024-02-20,2021-04-21,,,YES,NO,Business Clients
844294079,Personal,Ashley Waller,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,ashley.waller@example.com,https://box.com/v/client-docs-21,(940)196-5569,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,NO,YES,NO,NO,Mrs. Stephanie Lee,2022-05-02,2022-04-12,LETTER,2022-04-22,LETTER,2022-05-02,PHONE CALL,2022-05-17,2022-04-02,2025-04-01,,,,NO,YES,Premier Clients - Retail
807274773,Business,Jeffrey Meyer,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,jeffrey.meyer@example.com,https://box.com/v/client-docs-22,+1-356-159-5148,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,NO,YES,NO,YES,Jason Powell,2022-07-28,2022-07-08,PHONE CALL,2022-07-18,EMAIL,2022-07-28,LETTER,2022-08-12,2022-06-28,2025-06-27,,,,NO,YES,Private Wealth
844576238,Business,Cameron Fisher,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,cameron.fisher@example.com,https://box.com/v/client-docs-23,(299)468-0443x6995,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,NO,NO,NO,NO,Jeremy Lewis,2023-07-03,2023-06-13,PHONE CALL,2023-06-23,LETTER,2023-07-03,PHONE CALL,2023-07-18,2023-06-03,2026-06-02,,,,YES,YES,Business Clients
827251245,Personal,Steven Flynn,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,steven.flynn@example.com,https://box.com/v/client-docs-24,(148)951-3433,STANDARD,Out Of Order,Out Of Order,NO,YES,NO,NO,NO,Angel Riggs,2022-01-22,2022-01-02,PHONE CALL,2022-01-12,PHONE CALL,2022-01-22,LETTER,2022-02-06,2021-12-23,2024-12-22,,2022-03-03,2022-03-23,YES,NO,Private Wealth
806267110,Personal,Patricia Gibson,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,patricia.gibson@example.com,https://box.com/v/client-docs-25,+1-936-763-2016x3287,STANDARD,Out Of Order,Out Of Order,YES,YES,YES,YES,YES,David Charles,2022-09-04,2022-08-15,EMAIL,2022-08-25,PHONE CALL,2022-09-04,LETTER,2022-09-19,2022-08-05,2025-08-04,,2022-10-14,2022-11-03,YES,NO,Business Clients
816373520,Personal,Robert Contreras,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,robert.contreras@example.com,https://box.com/v/client-docs-26,+1-957-986-8727,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,YES,NO,YES,YES,NO,Paul Larsen,2023-11-09,2023-10-20,EMAIL,2023-10-30,LETTER,2023-11-09,EMAIL,2023-11-24,2023-10-10,2026-10-09,,,,YES,NO,Premier Clients - Retail
850683972,Business,Richard Washington,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,richard.washington@example.com,https://box.com/v/client-docs-27,471.434.5581,STANDARD,Out Of Order,Out Of Order,NO,YES,NO,NO,NO,David Benson,2024-01-23,2024-01-03,EMAIL,2024-01-13,LETTER,2024-01-23,PHONE CALL,2024-02-07,2023-12-24,2026-12-23,,2024-03-03,2024-03-23,NO,YES,Business Clients
818234494,Business,Amy Russell,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,amy.russell@example.com,https://box.com/v/client-docs-28,+1-760-366-9096,STANDARD,Due for Restrain,Due for Restrain,YES,YES,YES,YES,NO,Tommy Evans,2022-09-08,2022-08-19,LETTER,2022-08-29,EMAIL,2022-09-08,LETTER,2022-09-23,2022-08-09,2025-08-08,2022-10-08,,,YES,YES,Business Clients
804178583,Personal,Steven Houston,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,steven.houston@example.com,https://box.com/v/client-docs-29,+1-893-734-6706,STANDARD,Pending Compliance Approval,Pending Compliance Approval,NO,YES,NO,NO,YES,Michael Powell,2023-09-12,2023-08-23,PHONE CALL,2023-09-02,PHONE CALL,2023-09-12,PHONE CALL,2023-09-27,2023-08-13,2026-08-12,,,,NO,YES,Business Clients
801947824,Business,John Anderson,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,john.anderson@example.com,https://box.com/v/client-docs-30,+1-806-990-1627x204,STANDARD,Pending Compliance Approval,Pending Compliance Approval,NO,YES,NO,YES,YES,Daniel Murphy,2023-07-12,2023-06-22,PHONE CALL,2023-07-02,LETTER,2023-07-12,LETTER,2023-07-27,2023-06-12,2026-06-11,,,,YES,YES,Private Wealth
803374546,Business,Jamie Walton,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,jamie.walton@example.com,https://box.com/v/client-docs-31,(417)080-5310x03309,STANDARD,Due for Restrain,Due for Restrain,NO,YES,NO,NO,NO,Cameron Caldwell,2023-09-03,2023-08-14,PHONE CALL,2023-08-24,PHONE CALL,2023-09-03,PHONE CALL,2023-09-18,2023-08-04,2026-08-03,2023-10-03,,,NO,YES,Business Clients
843630433,Personal,Claudia Lyons,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,claudia.lyons@example.com,https://box.com/v/client-docs-32,001-529-912-4190x49663,MEDIUM,Due for Restrain,Due for Restrain,YES,YES,YES,YES,YES,Michael Burton,2023-01-17,2022-12-28,EMAIL,2023-01-07,EMAIL,2023-01-17,PHONE CALL,2023-02-01,2022-12-18,2025-12-17,2023-02-16,,,YES,YES,Business Clients
852196731,Personal,Raymond Jefferson,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,raymond.jefferson@example.com,https://box.com/v/client-docs-33,+1-190-586-5185x067,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,NO,NO,Tyler Reid,2022-01-09,2021-12-20,LETTER,2021-12-30,EMAIL,2022-01-09,EMAIL,2022-01-24,2021-12-10,2024-12-09,,,,YES,YES,Private Wealth
835751930,Business,Michelle Graham,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,michelle.graham@example.com,https://box.com/v/client-docs-34,001-849-877-6945x3147,STANDARD,Out Of Order,Out Of Order,YES,NO,YES,NO,NO,John Bishop,2021-04-25,2021-04-05,EMAIL,2021-04-15,PHONE CALL,2021-04-25,PHONE CALL,2021-05-10,2021-03-26,2024-03-25,,2021-06-04,2021-06-24,NO,YES,Business Clients
829230911,Business,Allen Rosales,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,allen.rosales@example.com,https://box.com/v/client-docs-35,(735)454-9480,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,YES,NO,NO,YES,Cheryl Allen,2023-10-18,2023-09-28,PHONE CALL,2023-10-08,LETTER,2023-10-18,LETTER,2023-11-02,2023-09-18,2026-09-17,,,,NO,NO,Premier Clients - Retail
814235124,Business,Justin Allen,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,justin.allen@example.com,https://box.com/v/client-docs-36,770.143.6349x5788,STANDARD,Pending Compliance Approval,Pending Compliance Approval,NO,NO,NO,YES,YES,Zachary Pierce,2022-02-07,2022-01-18,EMAIL,2022-01-28,EMAIL,2022-02-07,LETTER,2022-02-22,2022-01-08,2025-01-07,,,,NO,NO,Private Wealth
853212826,Personal,Jesse Parker,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,jesse.parker@example.com,https://box.com/v/client-docs-37,135.182.3374,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,NO,YES,NO,YES,NO,Vanessa Warren,2023-11-02,2023-10-13,LETTER,2023-10-23,LETTER,2023-11-02,PHONE CALL,2023-11-17,2023-10-03,2026-10-02,,,,NO,NO,Business Clients
820577122,Business,Brian Lee,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,brian.lee@example.com,https://box.com/v/client-docs-38,524.082.4008,MEDIUM,Out Of Order,Out Of Order,YES,YES,NO,YES,YES,Tony Little,2023-08-18,2023-07-29,EMAIL,2023-08-08,EMAIL,2023-08-18,LETTER,2023-09-02,2023-07-19,2026-07-18,,2023-09-27,2023-10-17,NO,NO,Private Wealth
815266138,Business,Ashley Smith,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,ashley.smith@example.com,https://box.com/v/client-docs-39,777-520-4711x6719,MEDIUM,Out Of Order,Out Of Order,NO,YES,YES,NO,YES,Amy Hernandez,2022-03-04,2022-02-12,EMAIL,2022-02-22,LETTER,2022-03-04,PHONE CALL,2022-03-19,2022-02-02,2025-02-01,,2022-04-13,2022-05-03,YES,NO,Premier Clients - Retail
829559362,Business,Elizabeth Mcknight,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,elizabeth.mcknight@example.com,https://box.com/v/client-docs-40,869-993-8677,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,YES,NO,NO,YES,YES,Kevin Patterson,2023-09-19,2023-08-30,PHONE CALL,2023-09-09,PHONE CALL,2023-09-19,EMAIL,2023-10-04,2023-08-20,2026-08-19,,,,YES,YES,Premier Clients - Retail
837451649,Business,Amy Choi,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,amy.choi@example.com,https://box.com/v/client-docs-41,334-123-2812,MEDIUM,Refresh Coming Due,Refresh Coming Due,NO,NO,NO,NO,NO,Jerry Wheeler,2022-06-23,2022-06-03,PHONE CALL,2022-06-13,LETTER,2022-06-23,LETTER,2022-07-08,2022-05-24,2025-05-23,,,,YES,YES,Premier Clients - Retail
816097081,Personal,David Mann,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,david.mann@example.com,https://box.com/v/client-docs-42,001-713-493-6183x242,MEDIUM,Due for Restrain,Due for Restrain,YES,YES,NO,NO,NO,Christopher Parker,2021-07-16,2021-06-26,PHONE CALL,2021-07-06,EMAIL,2021-07-16,EMAIL,2021-07-31,2021-06-16,2024-06-15,2021-08-15,,,NO,NO,Private Wealth
852870245,Personal,Laura Roberts,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,laura.roberts@example.com,https://box.com/v/client-docs-43,746-488-7719,STANDARD,Out Of Order,Out Of Order,YES,YES,YES,NO,YES,Jeffrey Morris,2022-05-24,2022-05-04,EMAIL,2022-05-14,EMAIL,2022-05-24,EMAIL,2022-06-08,2022-04-24,2025-04-23,,2022-07-03,2022-07-23,NO,NO,Business Clients
818270134,Business,Brandon Hayden,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,brandon.hayden@example.com,https://box.com/v/client-docs-44,001-904-902-7874,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,YES,NO,NO,NO,Kevin Walters,2022-10-15,2022-09-25,EMAIL,2022-10-05,EMAIL,2022-10-15,EMAIL,2022-10-30,2022-09-15,2025-09-14,,,,YES,NO,Private Wealth
818666773,Personal,Brandon Bailey MD,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,brandon.bailey.md@example.com,https://box.com/v/client-docs-45,+1-125-674-6807x15451,STANDARD,Pending Compliance Approval,Pending Compliance Approval,NO,YES,NO,NO,NO,Jennifer Robertson,2023-09-21,2023-09-01,PHONE CALL,2023-09-11,PHONE CALL,2023-09-21,LETTER,2023-10-06,2023-08-22,2026-08-21,,,,YES,YES,Business Clients
844465230,Business,Mary Daniels MD,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,mary.daniels.md@example.com,https://box.com/v/client-docs-46,859.770.3482,MEDIUM,Out Of Order,Out Of Order,NO,YES,NO,NO,NO,Jessica Wolfe,2023-11-11,2023-10-22,EMAIL,2023-11-01,PHONE CALL,2023-11-11,LETTER,2023-11-26,2023-10-12,2026-10-11,,2023-12-21,2024-01-10,YES,NO,Business Clients
841784253,Business,William Lynch,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,william.lynch@example.com,https://box.com/v/client-docs-47,248.086.1317,STANDARD,Out Of Order,Out Of Order,YES,YES,NO,YES,NO,Maria Moore,2023-12-28,2023-12-08,PHONE CALL,2023-12-18,LETTER,2023-12-28,PHONE CALL,2024-01-12,2023-11-28,2026-11-27,,2024-02-06,2024-02-26,YES,YES,Private Wealth
837060966,Business,Dorothy Thornton,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,dorothy.thornton@example.com,https://box.com/v/client-docs-48,(773)782-6398x21465,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,YES,YES,Katie Hoover,2022-10-29,2022-10-09,PHONE CALL,2022-10-19,LETTER,2022-10-29,PHONE CALL,2022-11-13,2022-09-29,2025-09-28,,,,NO,NO,Business Clients
825742023,Personal,Edwin Matthews,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,edwin.matthews@example.com,https://box.com/v/client-docs-49,+1-727-875-5886x75339,MEDIUM,Due for Restrain,Due for Restrain,YES,NO,NO,NO,NO,Scott Jenkins,2023-08-24,2023-08-04,EMAIL,2023-08-14,PHONE CALL,2023-08-24,LETTER,2023-09-08,2023-07-25,2026-07-24,2023-09-23,,,NO,NO,Premier Clients - Retail
822309669,Business,John Mcintyre,Trinidad and Tobago,05342,Unit 2,O’Meara Road,Arima,Trinidad and Tobago,john.mcintyre@example.com,https://box.com/v/client-docs-50,(627)028-9517x1870,STANDARD,Out Of Order,Out Of Order,NO,YES,YES,NO,YES,Jennifer Pena,2023-10-19,2023-09-29,PHONE CALL,2023-10-09,EMAIL,2023-10-19,PHONE CALL,2023-11-03,2023-09-19,2026-09-18,,2023-11-28,2023-12-18,NO,NO,Business Clients
833708190,Business,John Costa,Curacao,AN0806100,Saliña Abouweg 3,,Santa Maria,Curacao,john.costa@example.com,https://box.com/v/client-docs-51,961-586-5780x91343,MEDIUM,Due for Restrain,Due for Restrain,NO,YES,NO,YES,YES,Jessica Garcia,2021-04-16,2021-03-27,PHONE CALL,2021-04-06,LETTER,2021-04-16,EMAIL,2021-05-01,2021-03-17,2024-03-16,2021-05-16,,,YES,NO,Business Clients
857199660,Business,Shelia Wallace,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,shelia.wallace@example.com,https://box.com/v/client-docs-52,001-400-504-5562x386,STANDARD,Out Of Order,Out Of Order,NO,YES,YES,YES,NO,Rebecca Jackson,2021-07-14,2021-06-24,EMAIL,2021-07-04,LETTER,2021-07-14,EMAIL,2021-07-29,2021-06-14,2024-06-13,,2021-08-23,2021-09-12,NO,YES,Private Wealth
801942619,Personal,Seth Harvey,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,seth.harvey@example.com,https://box.com/v/client-docs-53,792.374.7407,STANDARD,Out Of Order,Out Of Order,YES,NO,NO,NO,NO,Megan Moore,2022-01-06,2021-12-17,EMAIL,2021-12-27,EMAIL,2022-01-06,LETTER,2022-01-21,2021-12-07,2024-12-06,,2022-02-15,2022-03-07,NO,YES,Premier Clients - Retail
833397885,Personal,Gregory Matthews,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,gregory.matthews@example.com,https://box.com/v/client-docs-54,+1-647-436-7136x9594,MEDIUM,Due for Restrain,Due for Restrain,NO,NO,NO,NO,YES,Elizabeth Spence DDS,2023-03-25,2023-03-05,PHONE CALL,2023-03-15,PHONE CALL,2023-03-25,LETTER,2023-04-09,2023-02-23,2026-02-22,2023-04-24,,,YES,YES,Business Clients
830657734,Business,Keith Jennings,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,keith.jennings@example.com,https://box.com/v/client-docs-55,001-097-439-5339x4210,MEDIUM,Out Of Order,Out Of Order,NO,NO,YES,YES,NO,Jeremiah Riley,2023-06-18,2023-05-29,LETTER,2023-06-08,PHONE CALL,2023-06-18,LETTER,2023-07-03,2023-05-19,2026-05-18,,2023-07-28,2023-08-17,NO,NO,Premier Clients - Retail
840695252,Business,Ann Phillips,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,ann.phillips@example.com,https://box.com/v/client-docs-56,001-623-285-8842x4745,STANDARD,Refresh Coming Due,Refresh Coming Due,YES,NO,YES,YES,NO,Julie Jones,2021-02-16,2021-01-27,LETTER,2021-02-06,LETTER,2021-02-16,LETTER,2021-03-03,2021-01-17,2024-01-17,,,,YES,YES,Private Wealth
838894541,Business,Courtney Rhodes,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,courtney.rhodes@example.com,https://box.com/v/client-docs-57,+1-685-160-4817x54965,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,NO,NO,NO,YES,David Johnson,2023-07-22,2023-07-02,EMAIL,2023-07-12,EMAIL,2023-07-22,LETTER,2023-08-06,2023-06-22,2026-06-21,,,,NO,NO,Premier Clients - Retail
